title,description,content,category
"Autonomous AI Could Wreak Havoc on Stock Market, Bank of England Warns","The Bank of England warned that AI bots could converge on similar trading strategies, exacerbating downturns or bubbles.","The stock market is already an unpredictable place, and now the Bank of England has warned that the adoption of generative AI in financial markets could produce a monoculture and amplify stock moveme… [+3192 chars]",technical
Razer Blade 16 Review: A Toasty Powerhouse,"It can get real warm, but this is a lean, mean gaming machine. The Razer Blade 16 is hopped up on AI-boosted components that serve up big performances on all fronts.",Im having a love/hate relationship with the Razer Blade 16 right now. Theres so much to love about this system. Its got two of the most powerful mobile components on the block with an AMD Strix Point… [+6470 chars],technical
Humanoid robots are coming to a warehouse near you,"Humanoid robots, tested by Amazon and GXO, are gaining traction in warehouses, though hurdles like high costs and complexity remain.","Agility's Digit robot works inside a warehouse.Agility Robotics
<ul><li>Robots that look and move like humans are getting a lot of buzz.</li><li>Companies, including Amazon and GXO, are already test… [+6331 chars]",technical
Meta AI is rolling out in Europe after all,"Meta is bringing its AI chatbot to Europe almost one year after pausing its launch in the region. Starting this week, Meta AI will roll out across WhatsApp, Facebook, Instagram, and Messenger in 41 European countries and 21 overseas territories — but it will …","A more limited version of Meta AI will head to WhatsApp, Facebook, Instagram, and Messenger this week.
A more limited version of Meta AI will head to WhatsApp, Facebook, Instagram, and Messenger thi… [+2021 chars]",technical
Thousands of federal health workers are losing their jobs in the US,"Drastic “reductions in force” are upending agencies within the Department of Health and Human Services (HHS), including the Centers for Disease Control and Prevention (CDC) and the Food and Drug Administration (FDA). Thousands of people who work at the CDC we…","Health agencies are slashing staff as part of President Donald Trump and Robert F. Kennedy Jr.s plans to restructure the federal government.
Health agencies are slashing staff as part of President D… [+2311 chars]",medicine
Israeli strike at Gaza hospital kills Hamas official and aide,Gaza's Hamas-run health ministry said medical staff had been injured and some of the hospital destroyed.,"An Israeli air strike on a hospital in Gaza killed a senior Hamas leader and an aide on Sunday evening, a Hamas official told the BBC.
Ismail Barhoum, the head of the group's financial affairs, was … [+1779 chars]",medicine
The English neighbourhood that could hold the secret to fixing the NHS,"With public satisfaction in the NHS just 21%, one area has a plan to shake up its services that could reduce GP waiting lists, as well as unblock hospital beds - but can it really work nationwide?","Listen to this article on BBC Sounds
Ministers, health staff and the public gathered in London last week for a summit to discuss the 10-year NHS plan in England. It was the final roadshow in a natio… [+12027 chars]",medicine
The CDC Has Been Gutted,Thousands of CDC employees who worked on things like preventing HIV and lead poisoning have been told they were subject to a reduction in force. Experts say people will die.,"Along with six other states, Missouri has been awarded CDC funding dedicated to lowering HIV infections, which helps pay for medicine like pre-exposure prophylactics (PrEP) for at-risk patients. Cher… [+3867 chars]",medicine
NHS billions wasted as bipolar patients left 'forgotten and failed',Exclusive data shows how neglect of this common mental health condition costs the UK nearly £10bn a year.,"When her baby was three weeks old, Emma took an overdose
Failing to properly diagnose and treat people with bipolar disorder is wasting billions of pounds a year in the UK, according to new data sha… [+8434 chars]",medicine
Doctor Behind Award-Winning Parkinson’s Research Among Scientists Purged From NIH,"Leading scientists at the National Institutes of Health, the US’s leading medical research agency, were swept up Tuesday in the Trump administration's latest firing blitz.",Several top scientists charged with overseeing research into disease prevention and cures at the National Institutes of Health (NIH) were notified that they were subject to a reduction in force on Tu… [+3270 chars],medicine
Anti-Vaxxers Are Grifting Off the Measles Outbreak—and Claim a Bioweapon Caused It,"Activists affiliated with Robert F. Kennedy, Jr. are selling a ""measles treatment and prevention protocol"" for hundreds of dollars, including supplements supposedly formulated by AI.",CHD has also pushed the debunked claim that vitamin C offers protections against contracting measles. The groups website is currently promoting an ebook titled The Measles Book: Thirty-Five Secrets t… [+3230 chars],medicine
UK draws up new disease-threat watch list,Some are viruses with global pandemic potential - like Covid - others infectious illnesses with no treatments.,"Michelle RobertsDigital health editor, BBC News
Oropouche virus, spread by biting midges and some mosquitoes, is on the list
The UK has a new watch list of 24 infectious diseases that could pose th… [+2927 chars]",medicine
Pope Francis greets crowds at St Peter's Square,"The Pope briefly appeared on stage in a wheelchair with a breathing tube, two weeks after leaving hospital.","Pope Francis has made an appearance at St Peter's Square in the Vatican following his discharge from hospital after five weeks of treatment.
The Pope briefly appeared on stage in a wheelchair, with … [+1242 chars]",medicine
CDC Cuts Cruise Ship Health Inspectors as Puke-Filled Year Rages On,There have already been a dozen cruise ship outbreaks in U.S. waters in 2025.,The Centers for Disease Control and Prevention is abandoning ship on monitoring cruise-related outbreaks of norovirus and other stomach bugs. The federal government has reportedly fired all full-time… [+2364 chars],medicine
Sixth Nurse Diagnosed With Brain Tumor in Possible Cluster at Massachusetts Hospital,"Mass General Brigham officials say the hospital hasn't found any ""environmental risk"" behind these cases, though the nurses' union is still conducting its own investigation.","Something strange could be happening at a Massachusetts hospital. At least six employees working on the same floor of the Newton-Wellesley Hospital have recently developed benign brain tumors.
The l… [+2690 chars]",medicine
RFK Jr Tells His Favorite Anti-Vaccine Group to Delete Mock CDC Website,Children's Health Defense published an anti-vaccine webpage that appeared almost identical to the CDC site.,"Anti-vaccine advocate and health secretary for the United States, Robert F. Kennedy Jr., ordered the nonprofit he once chaired to delete a webpage that mimicked the design of the Centers for Disease … [+2616 chars]",medicine
"Florida Man Eats Feral Pig, Gets Hospitalized With Rare Infection","Only around 100 cases of brucellosis are reported annually in the U.S., even fewer of which involve feral pigs.","A Florida man’s hankering for feral pig landed him in the hospital. In a recent case report, doctors describe how the man likely contracted a serious and rare infection from swine meat he received fr… [+3765 chars]",medicine
How will ban on British tourists bringing EU cheese and meat back home be applied?,The temporary measure by the government is aimed at stopping the spread of foot and mouth disease.,"Mitchell LabiakBusiness reporter, BBC News
The UK government has temporarily banned people from bringing cheese and some meats from the European Union (EU) into the country to stop the spread of foo… [+3525 chars]",medicine
Pontins owner charged with corporate manslaughter after grandmother's death,"Wendy Jones died in hospital about six months after being injured at Pontins Brean Sands, in Somerset.","Rebecca WearnBBC News, West of England
Wendy Jones, pictured with two of her grandchildren, died after a visit to Pontins Brean Sands
The owner of Pontins holiday parks has been charged with corpor… [+1890 chars]",medicine
First meeting of CDC vaccine advisers under RFK Jr. is mostly 'business as usual',An independent vaccine advisory committee to the Centers for Disease Control and Prevention met to discuss and vote on vaccine policy for the first time since the change in administrations.,"Despite concerns that the administration might meddle with a committee of vaccine advisers to the Centers for Disease Control and Prevention, their first public meeting since President Trump's inaugu… [+6629 chars]",medicine
"Pope to make first public appearance in five weeks, Vatican says",Pope Francis is to give his blessing and greet a crowd from hospital for the first time since he was admitted on 14 February.,"Pope Francis will make his first public appearance in five weeks on Sunday, where he will give his blessing and greet a crowd from Rome's Gemelli hospital, the Vatican have said.
The 88-year-old has… [+1794 chars]",medicine
Dozens killed in attacks on famine-hit Sudan camps,One charity says nine workers at one of its clinics died as medical facilities were targeted.,"More than 100 civilians, among them at least 20 children and a medical team working for a humanitarian charity, have been killed in a series of attacks beginning on Friday in Sudan's western Darfur r… [+2564 chars]",medicine
A longevity doctor lost 50 pounds because he worried he wouldn't see his son grow up. He made 4 simple lifestyle changes.,"When Dr. Darshan Shah was 42 and expecting his first child, he realized it was time to improve his health. He made changes including cutting out ultra-processed foods.","Darshan Shah uses what he learned about his own health to treat his patients.Darshan Shah
<ul><li>When Dr. Darshan Shah was expecting his first child, he was stressed and overweight.</li><li>He fear… [+5723 chars]",medicine
"HIV Is on the Brink of Defeat, but Trump’s Pending Funding Cuts Could Bring It Back","The Trump White House has pushed for drastic cuts to global HIV prevention efforts; now it's reportedly eyeing cuts at home, too.","The Trump administration might be looking to give HIV a hand. The federal government is reportedly eyeing drastic cuts to its funding for HIV prevention efforts at home.
The Wall Street Journal firs… [+3786 chars]",medicine
"Islanders exposed to toxic chemicals should be offered blood treatment, report says",Scientists for Jersey's government have revealed steps to tackle the health impacts of private water supply contamination.,"Lisa Cabot's levels of one forever chemical are 16 times higher than normal
Residents who were exposed to ""forever chemicals"" in Jersey should be offered treatments such as bloodletting to reduce le… [+3718 chars]",medicine
American Youtuber Faces Jail Time After Attempting to Contact World’s Most Isolated Tribe,"If he'd been successful, he might have spread a deadly disease to the Sentinelese people—or gotten himself killed.","Yet another U.S. social media influencer has done something dumband incredibly disrespectfulabroad.
In March, a YouTuber named Mykhailo Viktorovych Polyakov, who posts under the name Neo-Orientalist… [+3611 chars]",medicine
Anti-Vax RFK Jr. to Attend Funeral of Second Child to Die in Texas Measles Outbreak,Trump's Health and Human Services secretary has spread misinformation about the vaccine and treatments for the disease,"A second Texas child has died of a measles outbreak, and Health and Human Services Secretary Robert F. Kennedy Jr. infamous spreader of vaccine misinformation reportedly plans to attend the funeral o… [+4303 chars]",medicine
Report: Feds Put Notorious Anti-Vaxxer in Charge of Autism Study,David Geier and his father Mark Geier have a long track record of misrepresenting the science on vaccine safety.,"The wolves have firmly taken charge of the henhouse. The federal government has reportedly chosen David Geier, a notorious vaccine skeptic, to lead its upcoming study examining an already debunked li… [+3409 chars]",medicine
Rodent nests found near house where Gene Hackman's wife died of hantavirus,The Oscar-winning actor's wife Betsy Arakawa died from a respiratory illness linked to infected rodents.,"Nests and some dead rodents were found in outbuildings of the house where Oscar-winning actor Gene Hackman and his wife Betsy Arakawa were found dead. 
New Mexico Department of Public Health records… [+2335 chars]",medicine
Trump and DOGE Are Destroying U.S. Public Health Agencies From the Inside Out,The CDC is set to cut a third of its contracts spending within the next two weeks—the latest bit of dismantling orchestrated by the Trump administration.,"President Donald Trump isn’t done ripping the country’s public health agencies to shreds. The Trump administration, via the Department of Government Efficiency (DOGE), has reportedly ordered the Cent… [+2691 chars]",medicine
RFK Jr. Doesn’t Know About His Own Agency’s $11 Billion Health Cuts,"In a TV interview that aired on Wednesday, RFK Jr. first said he wasn't familiar with the cuts—then blamed them on DEI.","See no evil, hear no evil. In a recent interview, U.S. Secretary of Health and Human Services, Robert F. Kennedy Jr., professed to not know anything about the Trump administration’s plans to strip aw… [+2727 chars]",medicine
"Wounded Palestinians dying over lack of supplies, US surgeon who worked in Gaza says","Dr Mark Perlmutter says doctors are working without soap, antibiotics or x-ray facilities, as Israel has resumed its offensive against Hamas.","Sebastian Usher
An image supplied by Dr Perlmutter shows medics operating on a wounded Palestinian in Gaza
Warning: This article contains details that some readers may find distressing
An American… [+7528 chars]",medicine
Layoffs Begin at U.S. Health Agencies That Track Disease and Regulate Food,"Up to 10,000 people are expected to be laid off across the U.S. Health and Human Services Department.","Employees across the massive U.S. Health and Human Services Department began receiving notices of dismissal on Tuesday in an overhaul ultimately expected to lay off up to 10,000 people. The notices c… [+4968 chars]",medicine
Anthrax Outbreak Kills at Least 50 Hippos in Africa’s Oldest National Park,At least 50 hippos and other large animals at Virunga National Park in the DRC are thought to be killed by the bacterial disease.,"Anthrax has caused a mass die-off of hippos living inside Africa’s oldest nature reserve in the Democratic Republic of Congo. Officials at Virunga National Park report that at least 50 hippos, along … [+2326 chars]",medicine
King's health setback a reminder of his vulnerabilities,"The mood at Buckingham Palace is not one of alarm, but cancelled trip is unsettling.","Daniela RelphSenior royal correspondent
The announcement from Buckingham Palace that King Charles had been in hospital after experiencing side effects from his cancer treatment came hours before he … [+3780 chars]",medicine
New pill can slow progression of incurable breast cancer,"Around 3,000 women a year with advanced cancer could benefit from capivasertib which can slow the disease.","Philippa Roxby
A new type of drug for one of the most common kinds of advanced breast cancer is now available on the NHS in England.
Some 3,000 women a year could benefit from capivasertib after a … [+3737 chars]",medicine
North Carolina based hospital group eyes $132 million hospital complex in Greenville,"A North Carolina-based, non-profit health group has applied to build a $132 million hospital with 20 beds as part of its Palmetto State expansion.","Greenville's eastside medical district has high interest from a North Carolina-based non-profit wellness group as Novant Health filed to build a $132 million, 20-bed hospital near Patewood Drive.
Th… [+2372 chars]",medicine
Millions Share a Deadly Genetic Heart Risk. This Experimental Drug Could Be a Game Changer,About one in five Americans has a genetic risk for a dangerous type of cholesterol.,"An experimental drug could be game-changing for millions of Americans with a higher genetic risk of cardiovascular disease. In clinical trial data published over the weekend, Eli Lilly’s lepodisiran … [+3640 chars]",medicine
An Experimental Obesity Pill Mimics Gastric Bypass Surgery,A novel drug that produces a temporary coating in the small intestine could be a new strategy for weight loss—and an alternative to surgeries and GLP-1 drugs.,"The drug is based on research conducted at MIT by Giovanni Traverso, a gastroenterologist and mechanical engineer, and Robert Langer, a chemical engineer who has launched more than two dozen biotech … [+3401 chars]",medicine
The Trump administration axes funding for climate impacts on health research,"A growing body of evidence points to mounting health risks posed by climate change. Despite this, it seems the National Institutes of Health (NIH) will quit funding that kind of research. ProPublica first reported the news on Monday, citing internal records t…","New National Institutes of Health projects on climate are in peril.
New National Institutes of Health projects on climate are in peril.
A growing body of evidence points to mounting health risks po… [+3128 chars]",medicine
Five in hospital after police cars involved in crash,"Five people were taken to hospital following the crash, the North East Ambulance Service says.","A five-vehicle crash involving police cars has closed part of the A1 in Newcastle.
The collision happened just before 02:30 BST on the northbound carriageway near junction 75 and the Denton Burn rou… [+1287 chars]",medicine
King seen for first time after short hospital visit,The monarch spent a short period of time in hospital on Thursday and cancelled a visit on Friday.,"The King has been seen in public for the first time since he went to hospital after experiencing temporary side effects from his cancer treatment.
He cancelled a trip to Birmingham on Friday on medi… [+959 chars]",medicine
"The Trump administration restructures federal health agencies, cuts 20,000 jobs","The reduction in force comes along with a reorganization of the Department of Health and Human Services, consolidating 28 divisions to 15.","The Trump administration Thursday announced a major restructuring of the U.S. Department of Health and Human Services that will cut 20,000 full-time jobs.
The cuts include employees who have taken t… [+862 chars]",medicine
"If Bird Flu Jumped to Humans, Could Past Flu Infections Offer Some Protection?","NPR reports on research ""into whether our defenses built up from past flu seasons can offer any protection against H5N1 bird flu.""

So far, the findings offer some reassurance. Antibodies and other players in the immune system may buffer the worst consequence…","So far, the findings offer some reassurance. Antibodies and other players in the immune system may buffer the worst consequences of bird flu, at least to some degree. ""There's certainly preexisting i… [+1568 chars]",medicine
Cleaning your teeth could help you live longer: meet your oral microbiome,You may know that caring for your gut microbiome could help you live longer. But brushing and flossing your teeth is also a potential shortcut to better health.,"Brushing your teeth and flossing has been found to reduce cardiovascular disease risk.MirageC/Getty Images
<ul><li>Gut health is a buzzy topic, but the oral microbiome might be the next big trend.</… [+6548 chars]",medicine
The generation that has never known smoke-filled pubs,The legislation was brought across the country to reduce the effect of second-hand smoke.,"Jenny ReesHealth Correspondent, BBC Wales News
Jenny Phuwichit says she vapes every day, and doesn't feel that health warnings around smoking have impacted young people.
They are the first adults i… [+5340 chars]",medicine
Three deaths linked to listeria detected in NHS desserts,Listeriosis listed as cause of death in one NHS patient and two other deaths being investigated.,"Three deaths are being investigated as part of a listeria outbreak linked to desserts supplied to NHS hospitals and care homes.
The UK Health Security Agency (UKHSA) confirmed it is investigating th… [+2151 chars]",medicine
A longevity scientist who says he has reversed his age by 15 years shares his weekly workout routine,Dr. Eric Verdin believes exercising for an hour each day has made the biggest difference to his health.,"Dr. Eric Verdin exercises for an hour most days.Buck Insititute for Research on Aging/Getty Images
<ul><li>A longevity scientist who claims he reversed his age by 15 years believes exercise had the … [+3397 chars]",medicine
What happens when a Chicago hospital bows to federal pressure on trans care for teens,Patients and parents speak out after Lurie Children's in Chicago joined other hospitals in stopping gender-affirming surgeries. President Trump's executive order threatened their federal funding.,"If you or someone you love is experiencing a crisis, call or text 9-8-8  for the Suicide and Crisis Lifeline.
He's 17 and lives in the Chicago suburbs. He loves theater and recently helped direct a … [+11831 chars]",medicine
Coal Miners Sue Trump Admin After It Halts Black Lung Protections,Coal? Beautiful. Coal miner safety regulations? Not so beautiful.,"Trump has long espoused a love of coal. I call it beautiful, clean coalI tell my people to never use the word coal unless you put beautiful, clean before it, the president recently said during a pres… [+3088 chars]",medicine
"Lyme Disease: How to Prevent It, and What to Do if a Tick Bites You",Doctors explain everything you need to know about Lyme disease and what to do if you find a tick attached to your skin.,"You just came back from an invigorating, stress-busting spring hike. Or perhaps you're feeling accomplished because you got some early-season yard work done. And then you notice a tick on your clothi… [+12202 chars]",medicine
"Second Child Dies From Measles-Related Causes in West Texas, Where Cases Near 500","The West Texas outbreak is believed to have spread to New Mexico, Oklahoma and Kansas, sickening nearly 570 people.","A second school-aged child in West Texas has died from a measles-related illness, a hospital spokesman confirmed Sunday, as the outbreak continues to swell.
Aaron Davis, a spokesperson for UMC Healt… [+2399 chars]",medicine
King returns to public duties after hospital stay,The monarch is returning to work this week after suffering side effects from his cancer treatment.,"King Charles will return to public engagements this week, after side effects from his cancer treatment caused him to cancel an event last Friday.
The King rested at Highgrove, his estate in Gloucest… [+491 chars]",medicine
"Virginia Giuffre in hospital after 'serious accident', spokesperson says","A spokesperson told the BBC Giuffre ""greatly appreciates the support and well wishes people are sending"".","Virginia Giuffre, one of Jeffrey Epstein's most prominent accusers, is in hospital following a ""serious accident"", her spokesperson has told the BBC.
In a statement shared with the BBC, Dini von Mue… [+1190 chars]",medicine
Health Tips From 11 Experts in Their Fields: What You Need to Know,"From brain health — through good sleep habits — to daily skin and dental care regimens, these experts provide simple tips for your well-being.",I have been writing about health and testing wellness products for more than three years but I'm not an expert in every field. No one can know it all. That's why I tapped experts in a variety of heal… [+10460 chars],medicine
Why men are so unhealthy - and what can be done,Men are more likely to die prematurely than women - and worse at seeking care when they need it.,"This month the government in England will launch a consultation for its men's health strategy. The move is long overdue, experts say, with men much more likely to die prematurely than women. But why … [+6910 chars]",medicine
The four viruses that pose the biggest threat of a new pandemic in the UK,Health officials in Britain have published a list of the disease-causing viruses they believe pose the greatest risk to humans for the first time.,Health officials in Britain have published a first-of-its-kind list of the disease-causing viruses they believe pose the greatest risk to humans - including four viruses highlighted as pandemic risks… [+6406 chars],medicine
The petcession isn't here yet,"People are still spending on their pets, according to Chewy, even as fears about a recession force many consumers to pull back spending elsewhere.","Chewy reported earnings earlier this month.Joe Raedle/Getty Images
<ul><li>People keep splashing out on their pets even as they pull back spending elsewhere.</li><li>Earnings from Chewy show that pe… [+2536 chars]",medicine
"Common CT Scans Are Major Cancer Risk, Study Claims","CT scans could be as significant a risk factor for cancer as alcohol, but some experts aren't convinced.","Your next computed tomography, or CT, scan might be riskier than commonly assumed. A study out today calculates that CT scans are contributing to a substantially greater share of cancer cases than pa… [+5165 chars]",medicine
Woman who had leg amputated gets compensation for hospital failures,"Molly Harbron, 26, lost her left leg in April 2020 after medics failed to assess her case properly.","A woman who had her leg amputated due to hospital failings has been awarded a multimillion-pound compensation deal.
Molly Harbron, 26, lost her left leg in April 2020 after medics at Dewsbury Hospit… [+1946 chars]",medicine
Regional Hospital remains open amid negotiations with potential buyer,"Regional Hospital of Scranton will remain open amid ongoing negotiations with a potential buyer to acquire the health care facility, according to a state...","Regional Hospital of Scranton will remain open amid ongoing negotiations with a potential buyer to acquire the health care facility, according to a state representative who has advocated for the city… [+5785 chars]",medicine
iOS 19.4 Rumored to Revamp Health App With New Coaching Feature,"Apple plans to introduce a revamped Health app on the iPhone as early as iOS 19.4 next year, according to Bloomberg's Mark Gurman.





In his Power On newsletter today, Gurman said Apple plans to offer a new AI-powered health coaching feature that offers per…","Apple plans to introduce a revamped Health app on the iPhone as early as iOS 19.4 next year, according to Bloomberg's Mark Gurman.
In his Power On newsletter today, Gurman said Apple plans to offer … [+997 chars]",medicine
Gen Zers want to be doctors — but only if it makes them rich,"America needs 90,000 more family doctors. Students who are currently in medical school have different priorities.","Growing up with a cardiologist dad, Anna always knew she wanted to become a doctor. She had watched her father spend decades building trust with his patients so he could care for them, and she wanted… [+12805 chars]",medicine
Pope Francis makes first public appearance ahead of hospital discharge,The Pontiff's expected discharge comes after a five-week hospitalization for a severe respiratory infection.,"ROME Appearing weak but in good spirits, Pope Francis on Sunday briefly greeted hundreds faithfuls from a balcony at Rome's Gemelli hospital, marking his first public appearance since being hospitali… [+1089 chars]",medicine
Skip Coffee. Take Advantage of Green Tea’s Hidden Benefits for Focus and Calm,"Green tea has several hidden health benefits. If you're ready to cut down on coffee, here's why you should switch your choice of morning beverage.","Though it's been estimated that about 85% of US adults enjoy up to two cups of coffee daily, not everyone enjoys coffee or its effects (caffeine jitters or trouble sleeping, anyone?). If you're looki… [+12582 chars]",medicine
"Pope Francis will be discharged from the hospital on Sunday, doctors say","The pontiff spent over five weeks being treated for bronchitis that evolved into a severe respiratory illness. When he returns to the Vatican, he will need to rest for two months, his doctor said.","Pope Francis will leave the hospital on Sunday, his medical team said. 
After spending more than five weeks in the hospital, doctors said that his life-threatening respiratory illness was successful… [+1623 chars]",medicine
Virginia Giuffre grateful for 'love and support' after car crash,"Ms Giuffre 'remains in serious condition' in hospital following a collision with a school bus, her family say.","Ms Giuffre 'remains in serious condition' in hospital in Australia, her family said
Virginia Giuffre, a prominent Jeffrey Epstein accuser, has expressed gratitude for the ""outpouring of love and sup… [+1584 chars]",medicine
Why Susan Monarez is the Right Choice to Lead the CDC,"Trump’s newest pick for CDC Director, Susan Monarez isn’t a medical doctor. But that could be a strength, rather than a weakness.","The U.S. Centers for Disease Control and Prevention (CDC) stands at a crossroads. After years of pandemic fallout, opioid deaths, and declining public trust, the agency needs bold, decisive leadershi… [+5907 chars]",medicine
The Case for Donating a Kidney While You’re Still Alive,"For many people, the idea of donating an organ seems far too daunting. But it doesn't have to be, some researchers argue.","Would you ever donate a spare organ to someone else while you’re still alive? Probably not, given how few living organ donations happen these days.
Kidneys, and more recently livers, are some of the… [+9985 chars]",medicine
What is Alan Jackson's health condition? What to know about Charcot-Marie-Tooth disease,,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]",medicine
A GI doctor who researches the gut microbiome shared the 3 things he does to prevent colon cancer,"James Kinross, a colon cancer surgeon, believes that changes in the gut microbiome are likely contributing to rising rates of the disease in young people.","James Kinross, a colon cancer surgeon, eats 30 grams of fiber a day.Courtesy James Kinross; Getty Images; BI
<ul><li>More people under the age of 50 are developing colon cancer.</li><li>James Kinros… [+4412 chars]",medicine
New Toxic Avenger Trailer Takes Gory Aim at Health Care,Peter Dinklage's Toxie sure has some bloody and violent thoughts to share about the insurance industry in the August release.,"The upcoming Toxic Avenger reboot is months away, and each new glimpse of it has been either pretty goofy, gross, or both. Its newest promo falls into the third categorysilly and bloody as all hell, … [+1456 chars]",medicine
Oura Is Taking Its AI-Powered Wellness Advisor Out of Beta,Oura hopes it's AI will help guide you toward better health.,"All good things must come to an AI end. Oura, the company behind the Oura Ring, which popularized smart rings and gave Samsung a reason to make a fuss, has announced it’s taking its AI-based Oura Adv… [+2257 chars]",medicine
Students lead breakthrough study on diabetes drugs and dementia risk,Two undergraduate medicine students have led a major study examining how cardioprotective glucose-lowering therapies -- medications that lower blood sugar and reduce the risk of heart disease in people with diabetes -- affect the risk of developing dementia.,Two undergraduate medicine students at University of Galway have led a major study examining how cardioprotective glucose-lowering therapies -- medications that lower blood sugar and reduce the risk … [+2403 chars],medicine
The Pitt Is About More Than Medicine. It’s About America in Crisis,Max's hit medical drama isn't just a comforting throwback. It's a metaphor for a broken society—and a fantasy about who might fix it,"In Thursdays Season 1 finale of the Max medical drama The Pitt, as the emergency room returns to its normal state of semi-controlled chaos after receiving over 100 victims of a mass shooting, staffer… [+7874 chars]",medicine
Major damage at northern Gaza hospital targeted by Israeli airstrike after evacuation order,"The al-Ahli hospital in Gaza City was hit in a pre-dawn strike, according to Gaza's Health Ministry. One patient died during the evacuation because medical...","The al-Ahli hospital in Gaza City was hit in a pre-dawn strike, according to Gaza's Health Ministry. One patient died during the evacuation because medical staff were unable to provide urgent care, i… [+36 chars]",medicine
Need a Boost to Your Kidney Health? Check Out These 13 Superfoods to Add to Your Diet,These 13 superfoods can help keep your kidneys healthy. Here's what to know.,"It's common knowledge that you can live a fulfilling life with just one kidney, but are you aware of what your kidneys actually do? The US Centers for Disease Control and Prevention estimate that ove… [+5659 chars]",medicine
Medical Benchmarks and the Myth of the Universal Patient,"Manvir Singh reviews “Adaptable: How Your Unique Body Really Works and Why Our Biology Unites Us,” by Herman Pontzer, and considers the hidden cost of pediatric growth charts and other universal benchmarks in medicine and public health.","When my daughter was ten and a half months old, she qualified as wasted, which UNICEF describes as the most immediate, visible and life-threatening form of malnutrition. My wife and I had been trying… [+12897 chars]",medicine
Top scientists warn that Trump policies are causing a 'climate of fear' in research,"Some 2,000 scientists, including dozens of Nobel Prize winners, have signed an open letter warning that the U.S. lead in science is being ""decimated"" by the Trump administration's cuts to research.","Nearly 2,000 leading American scientists, including dozens of Nobel Prize winners, have issued a stark warning that the U.S. lead in science is being ""decimated"" by the Trump administration's cuts to… [+4984 chars]",medicine
'My eczema makes me feel trapped': Skin patients' agonising wait for NHS treatment,Patients with diseases such as eczema and acne are waiting up to two years for appointments.,"Amy GladwellBBC South West Investigations Team
Elle Jones, 19, says she lost periods of her teens to eczema
""It's taken a big toll on my life,"" says Elle Jones, 19, reflecting on her severe eczema.… [+8002 chars]",medicine
"Police respond to shooting at Michigan hospital, suspect not in custody","An active shooter has been reported at Corewell Health Beaumont Troy Hospital in Troy, Michigan.","Police were responding to a shooting on Thursday morning at Corewell Health Beaumont Troy Hospital in Troy, Michigan, where one victim is receiving medical treatment, according to law enforcement and… [+647 chars]",medicine
Major incident declared over Birmingham bin strike,City council leader John Cotton says the action is being taken because of public health concerns.,"A major incident has been declared by Birmingham City Council over the ongoing bin strikes, which has left 17,000 tonnes of waste on the streets. 
Council leader John Cotton said the action had been… [+413 chars]",medicine
How psychiatric patients get caught in a cycle of homelessness and spotty care,"Montana is investing $300 million to help those with severe mental illness from cycling through ERs, state psychiatric facilities, jails and homelessness. Advocates say they also need stable housing.",When L tells the story of her mom and how she's stuck in a repetitive cycle of mental health crises and bouts of homelessness she refers to a thick stack of papers and notes she's accumulated along t… [+9836 chars],medicine
Trump administration extends opioid emergency as fentanyl deaths drop,"U.S. Health Secretary Robert F. Kennedy Jr. says the Trump administration will continue to treat opioid overdoses as a ""national security"" emergency even as fentanyl deaths decline.","The Trump administration is extending through mid-June an emergency declaration linked to the opioid overdose crisis that was set to expire on Friday. 
In a statement, U.S. Department of Health and … [+1935 chars]",medicine
"On top of layoffs, HHS ordered to cut 35% of spending on contracts","Federal health agencies have to slash their spending by more than a third, on top of the 10,000-person staffing cuts.","The Trump administration is requiring the Department of Health and Human Services to cut spending on contracts by 35%, HHS spokesperson Andrew Nixon confirmed to NPR.
The spending cut is across all … [+1847 chars]",medicine
"Third Price Drop in a Week, The Garmin Vivoactive 5 Is Back to Its Black Friday Record Low Price","If you're looking for long battery life, detailed health information and robust activity tracking features, the Vivoactive 5 will be your best friend.","Not everyone wants to spend $500 on an Apple Watch, especially if the primary use is tracking and improving sporting performance. For those for whom fitness data takes precedence over high-end brands… [+3321 chars]",medicine
What to Know About Whooping Cough,"2025 is shaping up to be a bad year for whooping cough, a vaccine-preventable disease.","Whooping cough has been on the rise in the U.S. for yearsand cases are continuing to soar in 2025. Meanwhile, fewer Americans are getting vaccinated against it. 
Heres what to know about the ongoing… [+3480 chars]",medicine
Butler Memorial Hospital nurses picketing Monday for safer conditions in workplace,Nurses at Butler Memorial Hospital will hold an informational picket on Monday as they call for safer working conditions.,"Nurses at Butler Memorial Hospital will hold an informational picket on Monday as they call for safer working conditions.
The nurses union, the Pennsylvania Association of Staff Nurses &amp; Allied … [+3176 chars]",medicine
A record number of Americans are struggling to afford healthcare,"Over a third of Americans, or about 91 million people, can't afford quality medical care, per a new survey.","Healthcare disparities continue to rise in the US as low-income, Black, and Hispanic Americans are struggling to afford medicine and care.Getty Images
<ul><li>Over a third of Americans, about 91 mil… [+3604 chars]",medicine
